Ingredient,Description,Category,Substitutes
haricot verts,"This is a very thin variety of green bean that's crisp, tender, and expensive.  Don't confuse this with the haricot bean, which is a dry bean.",Snap Beans,"[{'Substitute': '1 pound green bean', 'Equivalent': '= 1 pound haricot verts', 'Note': 'as thin as possible; consider cutting thicker green beans in half lengthwise', 'Nutritional value': {'Carbs': '7 g', 'Calories': '31 Cals.', 'Salt': '6 mg', 'Fat': '0.2 g', 'Cholesterol': '0 mg', 'Vitamin C': '12.2 mg', 'Calcium': '37 mg', 'Protein': '1.8 g', 'Sugars': '3.3 g', 'Fiber': '2.7 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0.1 g'}}]"
harinilla,,Nonwheat Flours,"[{'Substitute': '1 cup masa harina', 'Equivalent': '= 1 cup harinilla', 'Note': 'yellow, not blue', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 cup cornmeal blue', 'Equivalent': '= 1 cup harinilla', 'Note': 'mix blue cornmeal in a blender until it has the consistency of flour (note that true harinilla is treated with lime)', 'Nutritional value': {'Carbs': '72.9 g', 'Calories': '384 Cals.', 'Salt': '4 mg', 'Fat': '5.9 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '6 mg', 'Protein': '9.9 g', 'Sugars': '1.6 g', 'Fiber': '9.4 g', 'Mono Fats': '2.1 g', 'Poly Fats': '2.4 g', 'Saturated Fats': '1 g'}}]"
harissa,This is a hot North African paste that's used as a meat rub or (mixed with water or oil) as a condiment.,African condiments,"[{'Substitute': '1 cup chile paste', 'Equivalent': '= 1 cup harissa', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 cup hot pepper sauce', 'Equivalent': '= 1 cup harissa', 'Note': '', 'Nutritional value': {'Carbs': '0.8 g', 'Calories': '12 Cals.', 'Salt': '633 mg', 'Fat': '0.8 g', 'Cholesterol': '0 mg', 'Vitamin C': '4.5 mg', 'Calcium': '12 mg', 'Protein': '1.3 g', 'Sugars': '0.1 g', 'Fiber': '0.6 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0.4 g', 'Saturated Fats': '0.1 g'}}]"
harusame,"These thin, translucent Japanese noodles are typically made with potato, sweet potato, rice, or mung bean starch. They're similar to Chinese bean threads.",Other Asian Noodles,"[{'Substitute': '1 pound bean threads', 'Equivalent': '= 1 pound harusame', 'Note': 'This is a very close substitute.', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 pound vermicelli', 'Equivalent': '= 1 pound harusame', 'Note': '', 'Nutritional value': {'Carbs': '73.2 g', 'Calories': '357 Cals.', 'Salt': '0 mg', 'Fat': '1.8 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '12.5 g', 'Sugars': '3.6 g', 'Fiber': '3.6 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound shirataki', 'Equivalent': '= 1 pound harusame', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
harvestfish,,"Other Fatty, Flaky-textured Fish","[{'Substitute': '1 pound butterfish', 'Equivalent': '= 1 pound harvestfish', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '146 Cals.', 'Salt': '89 mg', 'Fat': '8 g', 'Cholesterol': '65 mg', 'Vitamin C': '0 mg', 'Calcium': '22 mg', 'Protein': '17.3 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '3.4 g', 'Poly Fats': '0.6 g', 'Saturated Fats': '3.4 g'}}, {'Substitute': '1 pound bluefish', 'Equivalent': '= 1 pound harvestfish', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '124 Cals.', 'Salt': '60 mg', 'Fat': '4.2 g', 'Cholesterol': '59 mg', 'Vitamin C': '0 mg', 'Calcium': '7 mg', 'Protein': '20 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '1.8 g', 'Poly Fats': '1.1 g', 'Saturated Fats': '0.9 g'}}, {'Substitute': '1 pound herring', 'Equivalent': '= 1 pound harvestfish', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '158 Cals.', 'Salt': '90 mg', 'Fat': '9 g', 'Cholesterol': '60 mg', 'Vitamin C': '0.7 mg', 'Calcium': '57 mg', 'Protein': '18 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '3.7 g', 'Poly Fats': '2.1 g', 'Saturated Fats': '2 g'}}]"
Harzer,"This is a strong German cow's milk cheese. Use within a few days after purchasing. For best flavor, serve at room temperature.",Soft Cheeses,"[{'Substitute': '1 pound Mainzer', 'Equivalent': '= 1 pound Harzer', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 pound hand', 'Equivalent': '= 1 pound Harzer', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 pound Limburger', 'Equivalent': '= 1 pound Harzer', 'Note': '', 'Nutritional value': {'Carbs': '0.5 g', 'Calories': '327 Cals.', 'Salt': '800 mg', 'Fat': '27.2 g', 'Cholesterol': '90 mg', 'Vitamin C': '0 mg', 'Calcium': '497 mg', 'Protein': '20.1 g', 'Sugars': '0.5 g', 'Fiber': '0 g', 'Mono Fats': '8.6 g', 'Poly Fats': '0.5 g', 'Saturated Fats': '16.7 g'}}, {'Substitute': '1 pound Maroilles', 'Equivalent': '= 1 pound Harzer', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 pound Livarot', 'Equivalent': '= 1 pound Harzer', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 pound brick cheese', 'Equivalent': '= 1 pound Harzer', 'Note': 'milder', 'Nutritional value': {'Carbs': '3.6 g', 'Calories': '357 Cals.', 'Salt': '571 mg', 'Fat': '28.6 g', 'Cholesterol': '89 mg', 'Vitamin C': '0 mg', 'Calcium': '714 mg', 'Protein': '25 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '17.9 g'}}, {'Substitute': '1 pound Liederkranz', 'Equivalent': '= 1 pound Harzer', 'Note': 'milder', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
Hass avocado,"This is available year-round and has a rich flavor and creamy texture. The skin turns almost black when the avocado is ripe, which can camouflage bad bruises. This is the best variety by far for guacamole, but it turns a bit mushy in salads.",Avocados,"[{'Substitute': '1 each avocado', 'Equivalent': '= 1 each Hass avocado', 'Note': 'Most varieties can be used interchangeably.', 'Nutritional value': {'Carbs': '8.5 g', 'Calories': '160 Cals.', 'Salt': '7 mg', 'Fat': '14.7 g', 'Cholesterol': '0 mg', 'Vitamin C': '10 mg', 'Calcium': '12 mg', 'Protein': '2 g', 'Sugars': '0.7 g', 'Fiber': '6.7 g', 'Mono Fats': '9.8 g', 'Poly Fats': '1.8 g', 'Saturated Fats': '2.1 g'}}, {'Substitute': '1 each chayote', 'Equivalent': '= 1 each Hass avocado', 'Note': 'Once cooked, this works as an excellent low-calorie substitute for avocados in many dishes', 'Nutritional value': {'Carbs': '4.5 g', 'Calories': '19 Cals.', 'Salt': '2 mg', 'Fat': '0.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '7.7 mg', 'Calcium': '17 mg', 'Protein': '0.8 g', 'Sugars': '1.7 g', 'Fiber': '1.7 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 each fresh peas puréed', 'Equivalent': '= 1 each Hass avocado', 'Note': 'to make a fake guacamole', 'Nutritional value': {'Carbs': '14.5 g', 'Calories': '81 Cals.', 'Salt': '5 mg', 'Fat': '0.4 g', 'Cholesterol': '0 mg', 'Vitamin C': '40 mg', 'Calcium': '25 mg', 'Protein': '5.4 g', 'Sugars': '5.7 g', 'Fiber': '5.7 g', 'Mono Fats': '0 g', 'Poly Fats': '0.2 g', 'Saturated Fats': '0.1 g'}}, {'Substitute': '1 each asparagus', 'Equivalent': '= 1 each Hass avocado', 'Note': 'To make a fake guacamole, cook purée and chill.', 'Nutritional value': {'Carbs': '3.9 g', 'Calories': '20 Cals.', 'Salt': '2 mg', 'Fat': '0.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '5.6 mg', 'Calcium': '24 mg', 'Protein': '2.2 g', 'Sugars': '1.9 g', 'Fiber': '2.1 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 each broccoli', 'Equivalent': '= 1 each Hass avocado', 'Note': 'To make a fake guacamole, cook purée and chill.', 'Nutritional value': {'Carbs': '6.6 g', 'Calories': '34 Cals.', 'Salt': '33 mg', 'Fat': '0.4 g', 'Cholesterol': '0 mg', 'Vitamin C': '89.2 mg', 'Calcium': '47 mg', 'Protein': '2.8 g', 'Sugars': '1.7 g', 'Fiber': '2.6 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0.1 g'}}, {'Substitute': '1 each artichoke hearts', 'Equivalent': '= 1 each Hass avocado', 'Note': 'for salads', 'Nutritional value': {'Carbs': '3.9 g', 'Calories': '23 Cals.', 'Salt': '369 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '1.8 mg', 'Calcium': '31 mg', 'Protein': '0.8 g', 'Sugars': '0.8 g', 'Fiber': '1.5 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
hatcho miso,"This is a very strong, salty version of miso that's made with soybeans and aged for up to three years.  It's reddish-brown, somewhat chunky, and  often used to flavor hearty soups.",Soy Products,"[{'Substitute': '1 pound red miso', 'Equivalent': '= 1 pound hatcho miso', 'Note': 'made from barley instead of soybeans, not as pungent', 'Nutritional value': {'Carbs': '25.4 g', 'Calories': '198 Cals.', 'Salt': '3728 mg', 'Fat': '6 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '57 mg', 'Protein': '12.8 g', 'Sugars': '6.2 g', 'Fiber': '5.4 g', 'Mono Fats': '1.1 g', 'Poly Fats': '2.9 g', 'Saturated Fats': '1 g'}}]"
hato mugi,"Look for these large, pressed barley kernels in Asian markets.",Barley,"[{'Substitute': '1 cup pearl barley', 'Equivalent': '= 1 cup hato mugi', 'Note': 'slightly smaller', 'Nutritional value': {'Carbs': '78 g', 'Calories': '360 Cals.', 'Salt': '0 mg', 'Fat': '1 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '40 mg', 'Protein': '10 g', 'Sugars': '0 g', 'Fiber': '16 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
Havarti,This mild Danish cow's milk cheese is perfect for slicing into sandwiches. It's often flavored with spices and chilies.,Semi-Soft Cheeses,"[{'Substitute': '1 pound Tilsit', 'Equivalent': '= 1 pound Havarti', 'Note': '', 'Nutritional value': {'Carbs': '1.9 g', 'Calories': '340 Cals.', 'Salt': '753 mg', 'Fat': '26 g', 'Cholesterol': '102 mg', 'Vitamin C': '0 mg', 'Calcium': '700 mg', 'Protein': '24.4 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '7.1 g', 'Poly Fats': '0.7 g', 'Saturated Fats': '16.8 g'}}, {'Substitute': '1 pound jack cheese', 'Equivalent': '= 1 pound Havarti', 'Note': '', 'Nutritional value': {'Carbs': '7.1 g', 'Calories': '357 Cals.', 'Salt': '607 mg', 'Fat': '28.6 g', 'Cholesterol': '107 mg', 'Vitamin C': '0 mg', 'Calcium': '714 mg', 'Protein': '25 g', 'Sugars': '3.6 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '17.9 g'}}, {'Substitute': '1 pound Esrom', 'Equivalent': '= 1 pound Havarti', 'Note': 'more pungent', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 pound Gouda', 'Equivalent': '= 1 pound Havarti', 'Note': '', 'Nutritional value': {'Carbs': '2.2 g', 'Calories': '356 Cals.', 'Salt': '819 mg', 'Fat': '27.4 g', 'Cholesterol': '114 mg', 'Vitamin C': '0 mg', 'Calcium': '700 mg', 'Protein': '24.9 g', 'Sugars': '2.2 g', 'Fiber': '0 g', 'Mono Fats': '7.7 g', 'Poly Fats': '0.7 g', 'Saturated Fats': '17.6 g'}}]"
Hawaiian eggplant,,Eggplants,[]
Hawaiian salt,"This unrefined sea salt gets its pinkish-brown color from Hawaiian clay, called 'alaea, which is rich in iron oxide.  The clay also imparts a subtle flavor to the salt.  The salt is expensive, and hard to find on the mainland.",Salt,"[{'Substitute': '1 teaspoon French sea salt', 'Equivalent': '= 1 teaspoon Hawaiian salt', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 teaspoon sea salt', 'Equivalent': '= 1 teaspoon Hawaiian salt', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '0 Cals.', 'Salt': '39000 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 teaspoon kosher salt', 'Equivalent': '= 1 teaspoon Hawaiian salt', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '0 Cals.', 'Salt': '38750 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
hawaij,"This is a spice mixture used for stews, soups and meat rubs. A version is also used in coffee.",Middle Eastern Herb & Spice Mixes,"[{'Substitute': '1 ounce garam masala', 'Equivalent': '= 1 ounce hawaij', 'Note': '', 'Nutritional value': {'Carbs': '70 g', 'Calories': '300 Cals.', 'Salt': '150 mg', 'Fat': '10 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '10 g', 'Sugars': '0 g', 'Fiber': '40 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
hawk's wing mushroom,,Mushrooms,[]
hazelnut,"Hazelnuts have a crunchy texture and an appealing flavor that goes especially well with chocolate.  Unshelled nuts show up in the produce department of larger supermarkets in the fall and winter. Shelled nuts are available year-round near the baking supplies.  Before you use them, toast shelled hazelnuts in a 325° oven for ten to fifteen minutes, stirring occasionally. As soon a you take them from the oven, rub the nuts vigorously with a towel to remove their bitter brown skins.",Nuts,"[{'Substitute': '1 pound beechnut', 'Equivalent': '= 1 pound hazelnut', 'Note': '', 'Nutritional value': {'Carbs': '33.5 g', 'Calories': '576 Cals.', 'Salt': '38 mg', 'Fat': '50 g', 'Cholesterol': '0 mg', 'Vitamin C': '15.5 mg', 'Calcium': '1 mg', 'Protein': '6.2 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '21.9 g', 'Poly Fats': '20.1 g', 'Saturated Fats': '5.7 g'}}, {'Substitute': '1 pound almond', 'Equivalent': '= 1 pound hazelnut', 'Note': '', 'Nutritional value': {'Carbs': '21.6 g', 'Calories': '579 Cals.', 'Salt': '1 mg', 'Fat': '49.9 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '269 mg', 'Protein': '21.2 g', 'Sugars': '4.4 g', 'Fiber': '12.5 g', 'Mono Fats': '31.6 g', 'Poly Fats': '12.3 g', 'Saturated Fats': '3.8 g'}}, {'Substitute': '1 pound walnut', 'Equivalent': '= 1 pound hazelnut', 'Note': '', 'Nutritional value': {'Carbs': '13.3 g', 'Calories': '667 Cals.', 'Salt': '0 mg', 'Fat': '66.7 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '67 mg', 'Protein': '16.7 g', 'Sugars': '3.3 g', 'Fiber': '6.7 g', 'Mono Fats': '8.3 g', 'Poly Fats': '46.7 g', 'Saturated Fats': '6.7 g'}}, {'Substitute': '1 pound pecan', 'Equivalent': '= 1 pound hazelnut', 'Note': '', 'Nutritional value': {'Carbs': '13.9 g', 'Calories': '691 Cals.', 'Salt': '0 mg', 'Fat': '72 g', 'Cholesterol': '0 mg', 'Vitamin C': '1.1 mg', 'Calcium': '70 mg', 'Protein': '9.2 g', 'Sugars': '4 g', 'Fiber': '9.6 g', 'Mono Fats': '40.8 g', 'Poly Fats': '21.6 g', 'Saturated Fats': '6.2 g'}}, {'Substitute': '1 pound Brazil nut', 'Equivalent': '= 1 pound hazelnut', 'Note': '', 'Nutritional value': {'Carbs': '11.7 g', 'Calories': '659 Cals.', 'Salt': '3 mg', 'Fat': '67.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '0.7 mg', 'Calcium': '160 mg', 'Protein': '14.3 g', 'Sugars': '2.3 g', 'Fiber': '7.5 g', 'Mono Fats': '23.9 g', 'Poly Fats': '24.4 g', 'Saturated Fats': '16.1 g'}}, {'Substitute': '1 pound macadamia nut', 'Equivalent': '= 1 pound hazelnut', 'Note': '', 'Nutritional value': {'Carbs': '13.8 g', 'Calories': '718 Cals.', 'Salt': '5 mg', 'Fat': '75.8 g', 'Cholesterol': '0 mg', 'Vitamin C': '1.2 mg', 'Calcium': '85 mg', 'Protein': '7.9 g', 'Sugars': '4.6 g', 'Fiber': '8.6 g', 'Mono Fats': '58.9 g', 'Poly Fats': '1.5 g', 'Saturated Fats': '12.1 g'}}]"
hazelnut butter,"This is similar to peanut butter, only it's made with roasted hazelnuts.",Nut & Seed Pastes,"[{'Substitute': '1 teaspoon sugar + 1 pinch Salt + 1 cup hazelnut + 2 tablespoons vegetable oil', 'Equivalent': '= 1 cup hazelnut butter', 'Note': 'Combine one cup roasted and skinned  hazelnuts and one or two tablespoons vegetable oil and salt and sugar to taste in a food processor or blender and mix until it has a spreadable consistency.', 'Nutritional value': {'Carbs': '14.9 g', 'Calories': '668.5 Cals.', 'Salt': '0 mg', 'Fat': '67.4 g', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 pound chocolate-hazelnut spread', 'Equivalent': '= 1 pound hazelnut butter', 'Note': '', 'Nutritional value': {'Carbs': '62.4 g', 'Calories': '539 Cals.', 'Salt': '41 mg', 'Fat': '29.7 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '108 mg', 'Protein': '5.4 g', 'Sugars': '54.1 g', 'Fiber': '5.4 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '28.4 g'}}]"
hazelnut flour,"This is ground from the cake that remains after the oil is pressed from hazelnuts. This is hard to find, but you can order it from Baker's Find (1-800-966-BAKE) or online from from King Arthur Flour.",Nut Flours & Meals,"[{'Substitute': '1 cup walnut flour', 'Equivalent': '= 1 cup hazelnut flour', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 cup almond flour', 'Equivalent': '= 1 cup hazelnut flour', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
hazelnut liqueur,"This is great in coffee, on ice cream, or in cakes that use a liqueur as an ingredient.  Frangelico is a well-regarded brand.",Nut Liqueurs,"[{'Substitute': '1 pint walnut liqueur', 'Equivalent': '= 1 pint hazelnut liqueur', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 pint amaretto', 'Equivalent': '= 1 pint hazelnut liqueur', 'Note': '', 'Nutritional value': {'Carbs': '41.6 g', 'Calories': '371 Cals.', 'Salt': '5 mg', 'Fat': '0.3 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '41.6 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0.2 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pint brandy', 'Equivalent': '= 1 pint hazelnut liqueur', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '231 Cals.', 'Salt': '1 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
hazelnut meal,This is used to make cookies and other desserts.,Nut Flours & Meals,"[{'Substitute': '1 pound hazelnut skinned and toasted', 'Equivalent': '= 4 cups hazelnut meal', 'Note': ""Grind skinned and toasted hazelnuts in a nut mill until the meal has the consistency of cornmeal.  You can also use a food processor fitted with a steel blade to do this, but it's hard to keep the nut meal from turning into nut butter.  It helps to freeze the nuts before grinding, to use the pulse setting on the processor, and to add any sugar in the recipe to the nuts to help absorb the oils.  Store nut meals in the refrigerator or freezer, and use them soon after you buy or  make them.  (1/4 pound whole nuts yields about 1 cup nut meal.)"", 'Nutritional value': {'Carbs': '16.7 g', 'Calories': '628 Cals.', 'Salt': '0 mg', 'Fat': '60.7 g', 'Cholesterol': '0 mg', 'Vitamin C': '6.3 mg', 'Calcium': '114 mg', 'Protein': '15 g', 'Sugars': '4.3 g', 'Fiber': '9.7 g', 'Mono Fats': '45.7 g', 'Poly Fats': '7.9 g', 'Saturated Fats': '4.5 g'}}]"
